NamaPembeli,Kelamin,Menikah,Tanggungan,Pendidikan,Pekerjaan,PendapatanUtama,PemasukanTambahan,JenisProperti,NUP,BookingFee,BiayaRumahTanah,UangMuka,PeriodeCicilan,RiwayatPinjaman,PersetujuanPembelian
Pembeli 176,L,Ya,0,SMA,POLRI-TNI,10jt s.d. <20jt,<1jt,Tanah,Ya,Ya,107000000,38000000,18,2+,Ya
Pembeli 177,L,Ya,2,SMA,Wiraswasta,10jt s.d. <20jt,1jt s.d. <5jt,Tanah,Tidak,Ya,120000000,30000000,18,2+,Ya
Pembeli 178,L,Ya,3+,Sarjana,Pegawai Swasta,5jt s.d. <10jt,1jt s.d. <5jt,Tanah,Tidak,Ya,137000000,40000000,18,2+,Ya
Pembeli 179,L,Ya,1,Sarjana,PNS,5jt s.d. <10jt,1jt s.d. <5jt,Tanah,Tidak,Ya,105000000,19000000,18,0,Ya
Pembeli 180,L,Tidak,0,SMP,Wiraswasta,10jt s.d. <20jt,10jt s.d. <20jt,Rumah,Ya,Ya,190000000,50000000,24,0,Ya
Pembeli 181,L,Ya,1,SMA,Wiraswasta,>30jt,10jt s.d. <20jt,Rumah,Tidak,Ya,198000000,99000000,18,2+,Ya
Pembeli 182,L,Tidak,0,Sarjana,PNS,10jt s.d. <20jt,<1jt,Tanah,Tidak,Ya,123000000,19000000,18,2+,Ya
Pembeli 183,L,Ya,0,SD,Buruh Lepas,<1jt,0,Tanah,Ya,Ya,116000000,13000000,12,2+,Tidak
Pembeli 184,L,Ya,1,SMP,Wiraswasta,5jt s.d. <10jt,10jt s.d. <20jt,Tanah,Ya,Ya,133000000,38000000,18,0,Ya
Pembeli 185,P,Ya,0,SD,Buruh Lepas,<1jt,0,Tanah,Ya,Ya,143000000,32000000,18,2,Tidak
Pembeli 186,L,Ya,0,SD,Buruh Lepas,<1jt,0,Tanah,Ya,Ya,148000000,39000000,18,2+,Tidak
Pembeli 187,L,Ya,1,Sarjana,PNS,5jt s.d. <10jt,<1jt,Tanah,Tidak,Ya,108000000,24000000,18,2+,Ya
Pembeli 188,L,Ya,0,SMA,Wiraswasta,>30jt,5jt s.d. <10jt,Tanah,Ya,Ya,110000000,23000000,18,2,Ya
Pembeli 189,P,Ya,0,Sarjana,Pegawai Swasta,5jt s.d. <10jt,1jt s.d. <5jt,Tanah,Tidak,Ya,136000000,19000000,18,2+,Ya
Pembeli 190,L,Ya,0,SMA,Pegawai Swasta,5jt s.d. <10jt,1jt s.d. <5jt,Tanah,Ya,Ya,102000000,13000000,12,1,Ya
Pembeli 191,L,Tidak,0,Pasca Sarjana,Pegawai Swasta,1jt s.d. <5jt,1jt s.d. <5jt,Tanah,Ya,Ya,106000000,25000000,18,2,Ya
Pembeli 192,L,Tidak,0,Sarjana,Pegawai Swasta,1jt s.d. <5jt,<1jt,Tanah,Ya,Ya,150000000,30000000,18,2,Ya
Pembeli 193,L,Ya,1,Sarjana,PNS,1jt s.d. <5jt,1jt s.d. <5jt,Rumah,Tidak,Ya,209000000,64000000,18,1,Ya
Pembeli 194,L,Tidak,0,Pasca Sarjana,Pegawai Swasta,5jt s.d. <10jt,<1jt,Tanah,Ya,Ya,150000000,41000000,18,0,Ya
Pembeli 195,L,Tidak,0,Sarjana,Wiraswasta,10jt s.d. <20jt,10jt s.d. <20jt,Tanah,Tidak,Ya,125000000,49000000,18,2+,Ya
Pembeli 196,L,Ya,1,Pasca Sarjana,Wiraswasta,5jt s.d. <10jt,5jt s.d. <10jt,Tanah,Tidak,Ya,117000000,18000000,18,0,Ya
Pembeli 197,L,Tidak,0,SMP,Wiraswasta,5jt s.d. <10jt,1jt s.d. <5jt,Tanah,Ya,Ya,145000000,29000000,18,2+,Ya
Pembeli 198,P,Tidak,0,SMP,Buruh Lepas,<1jt,0,Rumah,Tidak,Ya,206000000,96000000,12,0,Tidak
Pembeli 199,P,Ya,1,Pasca Sarjana,Wiraswasta,10jt s.d. <20jt,5jt s.d. <10jt,Tanah,Tidak,Ya,105000000,36000000,18,1,Ya
Pembeli 200,L,Tidak,0,SMP,Buruh Lepas,<1jt,0,Rumah,Ya,Ya,214000000,73000000,18,2+,Tidak
Pembeli 201,L,Ya,1,SD,Buruh Lepas,<1jt,0,Tanah,Tidak,Ya,139000000,22000000,18,1,Tidak
Pembeli 202,L,Tidak,2,SMP,Buruh Lepas,<1jt,0,Tanah,Tidak,Ya,138000000,17000000,18,2+,Tidak
Pembeli 203,L,Ya,3+,SD,Buruh Lepas,<1jt,0,Rumah,Ya,Ya,197000000,59000000,12,2,Tidak
Pembeli 204,L,Ya,1,SMP,Buruh Lepas,<1jt,0,Rumah,Ya,Ya,196000000,89000000,18,2,Tidak
Pembeli 205,L,Ya,2,SMA,POLRI-TNI,5jt s.d. <10jt,5jt s.d. <10jt,Tanah,Ya,Ya,126000000,27000000,18,1,Ya
Pembeli 206,P,Tidak,0,SMA,POLRI-TNI,10jt s.d. <20jt,5jt s.d. <10jt,Tanah,Ya,Ya,142000000,50000000,18,2,Ya
Pembeli 207,P,Tidak,0,Sarjana,PNS,5jt s.d. <10jt,1jt s.d. <5jt,Rumah,Tidak,Ya,236000000,57000000,18,1,Ya
Pembeli 208,L,Tidak,0,Pasca Sarjana,Pegawai Swasta,5jt s.d. <10jt,<1jt,Tanah,Tidak,Ya,141000000,32000000,18,1,Ya
Pembeli 209,L,Tidak,0,Sarjana,POLRI-TNI,5jt s.d. <10jt,<1jt,Rumah,Ya,Ya,191000000,73000000,18,1,Ya
Pembeli 210,L,Tidak,0,SMP,Wiraswasta,5jt s.d. <10jt,1jt s.d. <5jt,Tanah,Tidak,Ya,150000000,22000000,18,2,Ya
Pembeli 211,P,Tidak,0,Sarjana,Pegawai Swasta,5jt s.d. <10jt,<1jt,Tanah,Ya,Ya,140000000,14000000,18,1,Tidak
Pembeli 212,L,Ya,3+,SMA,POLRI-TNI,10jt s.d. <20jt,1jt s.d. <5jt,Tanah,Ya,Ya,105000000,23000000,18,2,Tidak
Pembeli 213,L,Ya,1,SMA,POLRI-TNI,10jt s.d. <20jt,5jt s.d. <10jt,Rumah,Ya,Ya,195000000,93000000,18,2,Ya
Pembeli 214,L,Ya,3+,Pasca Sarjana,PNS,5jt s.d. <10jt,1jt s.d. <5jt,Tanah,Tidak,Ya,111000000,20000000,18,1,Ya
Pembeli 215,L,Ya,1,SD,Buruh Lepas,<1jt,0,Rumah,Ya,Ya,188000000,62000000,18,2,Tidak
Pembeli 216,L,Ya,3+,SMA,PNS,10jt s.d. <20jt,1jt s.d. <5jt,Tanah,Tidak,Ya,150000000,49000000,18,2+,Tidak
Pembeli 217,L,Ya,1,Sarjana,Pegawai Swasta,1jt s.d. <5jt,1jt s.d. <5jt,Tanah,Tidak,Ya,140000000,23000000,18,0,Ya
Pembeli 218,L,Ya,1,SMA,Wiraswasta,20jt s.d. <30jt,1jt s.d. <5jt,Tanah,Tidak,Ya,125000000,26000000,18,2,Ya
Pembeli 219,L,Ya,2,Pasca Sarjana,Wiraswasta,5jt s.d. <10jt,5jt s.d. <10jt,Tanah,Tidak,Ya,141000000,26000000,18,2+,Tidak
Pembeli 220,P,Ya,2,Sarjana,PNS,1jt s.d. <5jt,<1jt,Tanah,Ya,Ya,147000000,18000000,18,2+,Ya
Pembeli 221,L,Ya,1,Pasca Sarjana,Pegawai Swasta,1jt s.d. <5jt,<1jt,Rumah,Tidak,Ya,188000000,67000000,18,0,Tidak
Pembeli 222,L,Ya,2,Sarjana,POLRI-TNI,5jt s.d. <10jt,<1jt,Tanah,Tidak,Ya,125000000,45000000,18,0,Ya
Pembeli 223,L,Tidak,0,Sarjana,PNS,1jt s.d. <5jt,1jt s.d. <5jt,Tanah,Ya,Ya,143000000,31000000,18,1,Ya
Pembeli 224,L,Ya,0,SMA,Pegawai Swasta,1jt s.d. <5jt,<1jt,Tanah,Tidak,Ya,110000000,46000000,18,1,Ya
Pembeli 225,L,Ya,0,Pasca Sarjana,Wiraswasta,5jt s.d. <10jt,5jt s.d. <10jt,Tanah,Tidak,Ya,102000000,27000000,18,1,Ya
Pembeli 226,L,Ya,0,SMP,Buruh Lepas,<1jt,0,Tanah,Ya,Ya,103000000,38000000,18,2,Tidak
Pembeli 227,L,Ya,1,Sarjana,Wiraswasta,5jt s.d. <10jt,1jt s.d. <5jt,Rumah,Ya,Ya,246000000,67000000,18,0,Ya
Pembeli 228,L,Ya,2,SMA,Wiraswasta,10jt s.d. <20jt,5jt s.d. <10jt,Tanah,Ya,Ya,148000000,33000000,18,2,Ya
Pembeli 229,L,Tidak,0,Sarjana,POLRI-TNI,5jt s.d. <10jt,<1jt,Tanah,Ya,Ya,101000000,37000000,24,2+,Tidak
Pembeli 230,L,Tidak,0,SMP,Buruh Lepas,<1jt,0,Tanah,Tidak,Ya,124000000,30000000,12,1,Tidak
Pembeli 231,L,Ya,1,SD,Buruh Lepas,<1jt,0,Tanah,Tidak,Ya,131000000,21000000,12,0,Tidak
Pembeli 232,L,Ya,0,SMA,POLRI-TNI,5jt s.d. <10jt,5jt s.d. <10jt,Tanah,Tidak,Ya,139000000,39000000,24,2+,Ya
Pembeli 233,L,Tidak,0,SMP,Buruh Lepas,<1jt,0,Tanah,Ya,Ya,128000000,47000000,12,2+,Tidak
Pembeli 234,P,Tidak,0,Sarjana,Wiraswasta,20jt s.d. <30jt,5jt s.d. <10jt,Tanah,Ya,Ya,134000000,46000000,18,0,Ya
Pembeli 235,L,Ya,1,Pasca Sarjana,Pegawai Swasta,1jt s.d. <5jt,<1jt,Tanah,Tidak,Ya,119000000,34000000,18,2,Ya
Pembeli 236,L,Ya,1,SMP,Buruh Lepas,<1jt,0,Tanah,Ya,Ya,108000000,20000000,18,2+,Tidak
Pembeli 237,L,Ya,0,SMA,PNS,1jt s.d. <5jt,<1jt,Rumah,Tidak,Ya,203000000,73000000,18,1,Ya
Pembeli 238,P,Tidak,0,Sarjana,POLRI-TNI,5jt s.d. <10jt,<1jt,Rumah,Tidak,Ya,238000000,84000000,18,2,Ya
Pembeli 239,P,Tidak,1,SMA,Wiraswasta,20jt s.d. <30jt,1jt s.d. <5jt,Tanah,Ya,Ya,146000000,42000000,18,1,Ya
Pembeli 240,L,Ya,1,Sarjana,Pegawai Swasta,1jt s.d. <5jt,<1jt,Tanah,Ya,Ya,100000000,35000000,18,1,Ya
Pembeli 241,L,Ya,2,Pasca Sarjana,Pegawai Swasta,1jt s.d. <5jt,1jt s.d. <5jt,Tanah,Ya,Ya,101000000,20000000,12,2,Tidak
Pembeli 242,L,Ya,1,Sarjana,Pegawai Swasta,1jt s.d. <5jt,<1jt,Rumah,Tidak,Ya,212000000,62000000,12,0,Ya
Pembeli 243,L,Tidak,0,Sarjana,POLRI-TNI,1jt s.d. <5jt,1jt s.d. <5jt,Rumah,Tidak,Ya,231000000,93000000,24,2,Ya
Pembeli 244,L,Ya,2,SD,Buruh Lepas,<1jt,0,Tanah,Tidak,Ya,118000000,34000000,18,2,Tidak
Pembeli 245,L,Ya,0,Pasca Sarjana,Wiraswasta,10jt s.d. <20jt,5jt s.d. <10jt,Tanah,Ya,Ya,128000000,35000000,18,1,Ya
Pembeli 246,L,Tidak,0,SMA,POLRI-TNI,10jt s.d. <20jt,<1jt,Rumah,Tidak,Ya,186000000,69000000,12,2+,Tidak
Pembeli 247,L,Ya,2,SMA,POLRI-TNI,10jt s.d. <20jt,<1jt,Rumah,Tidak,Ya,193000000,87000000,18,1,Ya
Pembeli 248,L,Ya,1,Pasca Sarjana,Wiraswasta,10jt s.d. <20jt,1jt s.d. <5jt,Rumah,Tidak,Ya,237000000,89000000,12,2,Ya
Pembeli 249,L,Ya,1,SMA,POLRI-TNI,5jt s.d. <10jt,<1jt,Tanah,Tidak,Ya,107000000,48000000,24,1,Ya
Pembeli 250,L,Ya,0,Sarjana,Wiraswasta,20jt s.d. <30jt,5jt s.d. <10jt,Rumah,Tidak,Ya,204000000,100000000,18,0,Ya
Pembeli 251,L,Ya,0,SD,Buruh Lepas,<1jt,0,Tanah,Tidak,Ya,112000000,12000000,18,2,Tidak
Pembeli 252,P,Tidak,2,Sarjana,POLRI-TNI,1jt s.d. <5jt,1jt s.d. <5jt,Rumah,Tidak,Ya,189000000,90000000,18,1,Tidak
Pembeli 253,L,Tidak,0,SMP,Buruh Lepas,<1jt,0,Tanah,Tidak,Ya,112000000,15000000,18,0,Tidak
Pembeli 254,L,Ya,1,Sarjana,PNS,5jt s.d. <10jt,1jt s.d. <5jt,Tanah,Ya,Ya,134000000,18000000,12,2,Ya
Pembeli 255,L,Tidak,0,SMA,POLRI-TNI,10jt s.d. <20jt,5jt s.d. <10jt,Rumah,Ya,Ya,189000000,75000000,18,2,Ya
Pembeli 256,P,Tidak,3+,SMP,Buruh Lepas,<1jt,0,Tanah,Tidak,Ya,130000000,12000000,18,2+,Tidak
Pembeli 257,L,Tidak,0,Pasca Sarjana,Pegawai Swasta,1jt s.d. <5jt,<1jt,Tanah,Tidak,Ya,146000000,32000000,18,1,Tidak
Pembeli 258,L,Ya,3+,SD,Buruh Lepas,<1jt,0,Rumah,Tidak,Ya,184000000,99000000,18,1,Tidak
Pembeli 259,L,Ya,0,Sarjana,Wiraswasta,5jt s.d. <10jt,5jt s.d. <10jt,Tanah,Ya,Ya,105000000,35000000,18,1,Tidak
Pembeli 260,L,Ya,3+,Sarjana,Pegawai Swasta,1jt s.d. <5jt,1jt s.d. <5jt,Tanah,Ya,Ya,103000000,10000000,18,1,Tidak
Pembeli 261,L,Ya,1,SMP,Buruh Lepas,<1jt,0,Rumah,Ya,Ya,197000000,62000000,18,0,Tidak
Pembeli 262,L,Tidak,0,SMP,Wiraswasta,5jt s.d. <10jt,5jt s.d. <10jt,Tanah,Tidak,Ya,142000000,25000000,18,2+,Ya
Pembeli 263,P,Tidak,1,SMA,PNS,10jt s.d. <20jt,<1jt,Tanah,Tidak,Ya,139000000,10000000,18,2,Tidak
Pembeli 264,P,Tidak,0,Sarjana,POLRI-TNI,5jt s.d. <10jt,<1jt,Tanah,Tidak,Ya,132000000,24000000,18,0,Tidak
Pembeli 265,L,Tidak,0,Sarjana,Pegawai Swasta,5jt s.d. <10jt,1jt s.d. <5jt,Tanah,Tidak,Ya,122000000,30000000,18,0,Tidak
Pembeli 266,L,Tidak,0,Sarjana,POLRI-TNI,5jt s.d. <10jt,1jt s.d. <5jt,Tanah,Ya,Ya,121000000,36000000,18,2+,Tidak
Pembeli 267,L,Ya,2,Pasca Sarjana,Pegawai Swasta,1jt s.d. <5jt,<1jt,Tanah,Ya,Ya,150000000,12000000,18,1,Tidak
Pembeli 268,L,Ya,3+,Sarjana,POLRI-TNI,1jt s.d. <5jt,<1jt,Rumah,Tidak,Ya,230000000,93000000,18,2+,Tidak
Pembeli 269,P,Tidak,0,Pasca Sarjana,PNS,1jt s.d. <5jt,<1jt,Tanah,Tidak,Ya,110000000,38000000,18,1,Tidak
Pembeli 270,P,Tidak,1,SMA,Wiraswasta,>30jt,1jt s.d. <5jt,Rumah,Tidak,Ya,206000000,81000000,18,2,Ya
Pembeli 271,P,Tidak,0,SMP,Buruh Lepas,<1jt,0,Rumah,Ya,Ya,242000000,91000000,18,2,Tidak
Pembeli 272,L,Ya,0,Sarjana,Pegawai Swasta,1jt s.d. <5jt,1jt s.d. <5jt,Rumah,Tidak,Ya,246000000,94000000,18,2+,Tidak
Pembeli 273,L,Tidak,0,SMP,Buruh Lepas,<1jt,0,Tanah,Ya,Ya,102000000,15000000,18,2+,Tidak
Pembeli 274,L,Ya,0,Pasca Sarjana,Pegawai Swasta,5jt s.d. <10jt,<1jt,Tanah,Tidak,Ya,132000000,41000000,18,2,Ya
Pembeli 275,L,Ya,2,SMA,Pegawai Swasta,1jt s.d. <5jt,1jt s.d. <5jt,Tanah,Ya,Ya,139000000,22000000,18,1,Tidak
Pembeli 276,L,Ya,1,SD,Buruh Lepas,<1jt,0,Tanah,Tidak,Ya,108000000,22000000,18,1,Tidak
Pembeli 277,L,Ya,0,Sarjana,POLRI-TNI,10jt s.d. <20jt,5jt s.d. <10jt,Tanah,Tidak,Ya,121000000,43000000,18,2+,Ya
Pembeli 278,L,Ya,0,Pasca Sarjana,Pegawai Swasta,1jt s.d. <5jt,1jt s.d. <5jt,Rumah,Ya,Ya,212000000,84000000,18,1,Tidak
Pembeli 279,L,Ya,0,SMP,Buruh Lepas,<1jt,0,Tanah,Tidak,Ya,141000000,47000000,18,1,Tidak
Pembeli 280,P,Ya,0,SMP,Buruh Lepas,<1jt,0,Tanah,Tidak,Ya,109000000,37000000,18,0,Tidak
Pembeli 281,L,Tidak,1,SD,Buruh Lepas,<1jt,0,Rumah,Ya,Ya,249000000,78000000,18,2,Tidak
Pembeli 282,L,Ya,0,SMP,Buruh Lepas,<1jt,0,Tanah,Ya,Ya,120000000,22000000,18,1,Tidak
Pembeli 283,L,Ya,2,Sarjana,Wiraswasta,20jt s.d. <30jt,10jt s.d. <20jt,Rumah,Ya,Ya,238000000,89000000,12,2+,Ya
Pembeli 284,P,Tidak,0,Pasca Sarjana,Wiraswasta,>30jt,1jt s.d. <5jt,Rumah,Tidak,Ya,228000000,63000000,18,0,Ya
Pembeli 285,L,Ya,0,SD,Buruh Lepas,<1jt,0,Tanah,Ya,Ya,110000000,44000000,18,1,Tidak
Pembeli 286,L,Tidak,0,SMA,POLRI-TNI,5jt s.d. <10jt,<1jt,Tanah,Ya,Ya,127000000,46000000,18,1,Ya
Pembeli 287,P,Tidak,0,Sarjana,POLRI-TNI,1jt s.d. <5jt,1jt s.d. <5jt,Tanah,Ya,Ya,145000000,15000000,18,0,Tidak
Pembeli 288,L,Ya,1,SMP,Buruh Lepas,<1jt,0,Tanah,Tidak,Ya,127000000,44000000,18,0,Tidak
Pembeli 289,P,Tidak,0,SD,Buruh Lepas,<1jt,0,Tanah,Tidak,Ya,113000000,39000000,18,0,Tidak
Pembeli 290,L,Tidak,0,SD,Buruh Lepas,<1jt,0,Tanah,Tidak,Ya,142000000,41000000,18,2+,Tidak
Pembeli 291,L,Ya,1,Sarjana,Pegawai Swasta,5jt s.d. <10jt,<1jt,Tanah,Ya,Ya,132000000,36000000,18,0,Ya
Pembeli 292,L,Ya,2,SMP,Wiraswasta,>30jt,1jt s.d. <5jt,Tanah,Tidak,Ya,108000000,16000000,18,2+,Ya
Pembeli 293,L,Ya,2,SMA,POLRI-TNI,1jt s.d. <5jt,1jt s.d. <5jt,Rumah,Ya,Ya,247000000,63000000,18,1,Tidak
Pembeli 294,P,Tidak,0,Pasca Sarjana,PNS,5jt s.d. <10jt,1jt s.d. <5jt,Rumah,Tidak,Ya,225000000,65000000,24,1,Ya
Pembeli 295,L,Ya,1,Sarjana,Wiraswasta,20jt s.d. <30jt,5jt s.d. <10jt,Tanah,Tidak,Ya,145000000,43000000,18,1,Ya
Pembeli 296,L,Ya,3+,SMA,Pegawai Swasta,1jt s.d. <5jt,1jt s.d. <5jt,Rumah,Tidak,Ya,196000000,83000000,18,2,Tidak
Pembeli 297,L,Ya,1,Sarjana,PNS,1jt s.d. <5jt,5jt s.d. <10jt,Tanah,Tidak,Ya,125000000,50000000,18,2+,Tidak
Pembeli 298,P,Ya,1,SMA,POLRI-TNI,10jt s.d. <20jt,5jt s.d. <10jt,Rumah,Ya,Ya,207000000,87000000,18,1,Ya
Pembeli 299,P,Tidak,0,Sarjana,POLRI-TNI,10jt s.d. <20jt,<1jt,Tanah,Tidak,Ya,149000000,43000000,24,2,Ya
Pembeli 300,L,Ya,1,SMA,Pegawai Swasta,5jt s.d. <10jt,<1jt,Rumah,Tidak,Ya,219000000,56000000,18,0,Ya
Pembeli 301,L,Ya,0,Pasca Sarjana,PNS,1jt s.d. <5jt,<1jt,Rumah,Ya,Ya,191000000,73000000,18,2+,Tidak
Pembeli 302,L,Ya,2,SMA,Pegawai Swasta,1jt s.d. <5jt,<1jt,Tanah,Tidak,Ya,123000000,45000000,18,1,Tidak
Pembeli 303,P,Tidak,0,Sarjana,POLRI-TNI,5jt s.d. <10jt,1jt s.d. <5jt,Tanah,Ya,Ya,106000000,12000000,18,2+,Ya
Pembeli 304,L,Ya,1,Sarjana,PNS,1jt s.d. <5jt,1jt s.d. <5jt,Rumah,Tidak,Ya,193000000,84000000,18,1,Tidak
Pembeli 305,L,Tidak,0,Sarjana,POLRI-TNI,1jt s.d. <5jt,1jt s.d. <5jt,Tanah,Ya,Ya,123000000,24000000,18,2,Tidak
Pembeli 306,L,Tidak,0,SMP,Wiraswasta,20jt s.d. <30jt,10jt s.d. <20jt,Rumah,Tidak,Ya,228000000,61000000,18,1,Ya
Pembeli 307,P,Tidak,0,Pasca Sarjana,Wiraswasta,20jt s.d. <30jt,5jt s.d. <10jt,Tanah,Ya,Ya,142000000,20000000,18,2+,Ya
Pembeli 308,P,Tidak,0,Sarjana,PNS,5jt s.d. <10jt,1jt s.d. <5jt,Rumah,Tidak,Ya,247000000,56000000,18,1,Ya
Pembeli 309,L,Tidak,0,Sarjana,POLRI-TNI,1jt s.d. <5jt,1jt s.d. <5jt,Tanah,Tidak,Ya,104000000,49000000,18,2+,Tidak
Pembeli 310,L,Ya,2,SMA,PNS,5jt s.d. <10jt,<1jt,Tanah,Ya,Ya,136000000,14000000,18,0,Ya
Pembeli 311,P,Tidak,0,Sarjana,PNS,10jt s.d. <20jt,5jt s.d. <10jt,Tanah,Tidak,Ya,122000000,44000000,18,0,Ya
Pembeli 312,L,Tidak,0,Sarjana,PNS,1jt s.d. <5jt,<1jt,Tanah,Ya,Ya,111000000,47000000,18,2+,Tidak
Pembeli 313,P,Tidak,0,SD,Buruh Lepas,<1jt,0,Tanah,Ya,Ya,106000000,32000000,18,1,Tidak
Pembeli 314,L,Ya,2,SMA,Pegawai Swasta,5jt s.d. <10jt,<1jt,Tanah,Tidak,Ya,129000000,18000000,12,0,Ya
Pembeli 315,P,Ya,0,SMA,POLRI-TNI,1jt s.d. <5jt,1jt s.d. <5jt,Tanah,Tidak,Ya,141000000,44000000,18,2+,Tidak
Pembeli 316,L,Ya,1,Pasca Sarjana,Wiraswasta,5jt s.d. <10jt,1jt s.d. <5jt,Rumah,Ya,Ya,195000000,82000000,12,2,Ya
Pembeli 317,L,Ya,2,Pasca Sarjana,PNS,5jt s.d. <10jt,1jt s.d. <5jt,Tanah,Tidak,Ya,148000000,33000000,18,1,Ya
Pembeli 318,L,Ya,0,SD,Buruh Lepas,<1jt,0,Rumah,Ya,Ya,180000000,58000000,18,0,Tidak
Pembeli 319,P,Tidak,1,SMA,Wiraswasta,20jt s.d. <30jt,10jt s.d. <20jt,Tanah,Tidak,Ya,146000000,41000000,18,1,Ya
Pembeli 320,L,Ya,1,SD,Buruh Lepas,<1jt,0,Tanah,Ya,Ya,123000000,17000000,18,0,Tidak
Pembeli 321,L,Ya,0,SMA,Pegawai Swasta,1jt s.d. <5jt,1jt s.d. <5jt,Tanah,Ya,Ya,107000000,17000000,18,0,Tidak
Pembeli 322,L,Ya,3+,SMP,Buruh Lepas,<1jt,0,Tanah,Tidak,Ya,148000000,34000000,18,2+,Tidak
Pembeli 323,L,Ya,2,SMA,PNS,1jt s.d. <5jt,5jt s.d. <10jt,Tanah,Ya,Ya,133000000,49000000,18,2,Tidak
Pembeli 324,P,Tidak,0,SMP,Wiraswasta,10jt s.d. <20jt,10jt s.d. <20jt,Tanah,Ya,Ya,148000000,45000000,18,1,Ya
Pembeli 325,L,Ya,3+,Sarjana,Pegawai Swasta,5jt s.d. <10jt,1jt s.d. <5jt,Tanah,Ya,Ya,146000000,49000000,18,1,Ya
Pembeli 326,L,Ya,1,SMP,Wiraswasta,>30jt,10jt s.d. <20jt,Tanah,Ya,Ya,103000000,45000000,18,1,Ya
Pembeli 327,L,Tidak,0,Pasca Sarjana,Pegawai Swasta,5jt s.d. <10jt,1jt s.d. <5jt,Tanah,Tidak,Ya,101000000,22000000,18,2+,Ya
Pembeli 328,L,Ya,1,Pasca Sarjana,Pegawai Swasta,5jt s.d. <10jt,<1jt,Tanah,Ya,Ya,101000000,28000000,18,1,Ya
Pembeli 329,P,Ya,1,SMA,POLRI-TNI,10jt s.d. <20jt,1jt s.d. <5jt,Rumah,Ya,Ya,183000000,68000000,18,2,Ya
Pembeli 330,P,Tidak,0,Sarjana,Pegawai Swasta,5jt s.d. <10jt,<1jt,Rumah,Ya,Ya,189000000,75000000,18,0,Ya
Pembeli 331,L,Tidak,1,Sarjana,Pegawai Swasta,5jt s.d. <10jt,1jt s.d. <5jt,Rumah,Tidak,Ya,191000000,77000000,18,1,Ya
Pembeli 332,L,Tidak,0,Sarjana,PNS,10jt s.d. <20jt,5jt s.d. <10jt,Tanah,Ya,Ya,103000000,45000000,18,1,Ya
Pembeli 333,L,Tidak,0,Pasca Sarjana,Wiraswasta,20jt s.d. <30jt,1jt s.d. <5jt,Rumah,Ya,Ya,187000000,93000000,18,2+,Ya
Pembeli 334,L,Ya,0,SMA,Pegawai Swasta,1jt s.d. <5jt,<1jt,Rumah,Tidak,Ya,185000000,80000000,12,1,Tidak
Pembeli 335,L,Ya,1,Pasca Sarjana,PNS,10jt s.d. <20jt,<1jt,Rumah,Ya,Ya,245000000,89000000,12,0,Ya
Pembeli 336,L,Ya,2,SD,Buruh Lepas,<1jt,0,Tanah,Tidak,Ya,113000000,38000000,12,2+,Tidak
Pembeli 337,L,Ya,1,SMA,POLRI-TNI,1jt s.d. <5jt,<1jt,Tanah,Tidak,Ya,138000000,36000000,18,1,Tidak
Pembeli 338,L,Ya,2,Pasca Sarjana,Pegawai Swasta,1jt s.d. <5jt,<1jt,Tanah,Ya,Ya,146000000,15000000,18,0,Tidak
Pembeli 339,P,Tidak,3+,Sarjana,POLRI-TNI,5jt s.d. <10jt,<1jt,Rumah,Tidak,Ya,234000000,93000000,18,2,Ya
Pembeli 340,P,Tidak,0,SMP,Wiraswasta,10jt s.d. <20jt,5jt s.d. <10jt,Tanah,Tidak,Ya,145000000,33000000,18,2,Ya
Pembeli 341,L,Ya,3+,Sarjana,POLRI-TNI,10jt s.d. <20jt,<1jt,Tanah,Tidak,Ya,115000000,10000000,18,1,Ya
Pembeli 342,P,Tidak,0,Sarjana,Pegawai Swasta,1jt s.d. <5jt,1jt s.d. <5jt,Tanah,Tidak,Ya,124000000,11000000,18,2,Tidak
Pembeli 343,L,Ya,1,SMP,Wiraswasta,10jt s.d. <20jt,1jt s.d. <5jt,Rumah,Ya,Ya,224000000,60000000,18,2,Ya
Pembeli 344,L,Ya,3+,SMP,Buruh Lepas,<1jt,0,Tanah,Tidak,Ya,146000000,40000000,18,2,Tidak
Pembeli 345,L,Ya,2,SMP,Wiraswasta,10jt s.d. <20jt,10jt s.d. <20jt,Tanah,Ya,Ya,150000000,17000000,18,0,Ya
Pembeli 346,L,Ya,1,Pasca Sarjana,Wiraswasta,10jt s.d. <20jt,5jt s.d. <10jt,Tanah,Tidak,Ya,125000000,17000000,18,2,Ya
Pembeli 347,L,Ya,3,Sarjana,PNS,10jt s.d. <20jt,5jt s.d. <10jt,Tanah,Ya,Ya,111000000,43000000,18,2,Ya
Pembeli 348,L,Ya,2,SD,Buruh Lepas,<1jt,0,Rumah,Ya,Ya,192000000,50000000,18,2,Tidak
Pembeli 349,L,Ya,0,Pasca Sarjana,PNS,5jt s.d. <10jt,5jt s.d. <10jt,Tanah,Ya,Ya,116000000,14000000,18,0,Ya
Pembeli 350,L,Ya,0,SMA,Wiraswasta,5jt s.d. <10jt,5jt s.d. <10jt,Tanah,Ya,Ya,123000000,35000000,18,0,Ya
Pembeli 351,L,Ya,0,Sarjana,Pegawai Swasta,5jt s.d. <10jt,<1jt,Tanah,Ya,Ya,125000000,14000000,18,1,Ya
